bgg,name,players,duration,complexity,y,ab
https://boardgamegeek.com/boardgame/367525/3000-scoundrels,3000 Canaglie,,,Semplice,,
https://boardgamegeek.com/boardgame/249039/5-minute-chase,5 minutes chase,2-4,15,Semplice,,B
https://boardgamegeek.com/boardgame/161417/red7,7 Rosso,2-4,5-30,Media,,A
https://boardgamegeek.com/boardgame/164226/7sins,7 Sins,,,,,
https://boardgamegeek.com/boardgame/68448/7-wonders,7 Wonders,2-7,30-45,Media,,
https://boardgamegeek.com/boardgame/173346/7-wonders-duel,7 Wonders Duel,2,,,,
https://boardgamegeek.com/boardgame/302316/sky-stars,A Sky of Stars,,,,,
https://boardgamegeek.com/boardgame/226322/s-question,A voi la scelta!,3-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/172818/above-and-below,Above and Below,2-4,90,Media,,
https://boardgamegeek.com/boardgame/155987/abyss,Abyss,2-4,30-60,Media,,
https://boardgamegeek.com/boardgame/155695/age-war,Age of war,2-6,15-30,Semplice,,A
https://boardgamegeek.com/boardgame/31260/agricola,Agricola ,1-5,30-150,Elevata,,
https://boardgamegeek.com/boardgame/205418/agricola-family-edition,Agricola per famiglie,1-4,45,Semplice,Y,
https://boardgamegeek.com/boardgame/165651/merry-yard,Aia Gaia,,,,,
https://boardgamegeek.com/boardgame/6249/alhambra,Alhambra,2-6,45-60,Semplice,,
https://boardgamegeek.com/boardgame/391045/alpaca,Alpaca,,,,,
https://boardgamegeek.com/boardgame/260710/amul,Amul,3-8,,,,
https://boardgamegeek.com/boardgame/342857/air-land-and-sea-critters-war,Animali in Guerra,,,,,
https://boardgamegeek.com/boardgame/300099/animix,Animix,,,,,
https://boardgamegeek.com/boardgame/3137/anno-domini-erfindungen,Anno Domini ,,,,,
https://boardgamegeek.com/boardgame/174614/apotheca,Apotheca,,,,,
https://boardgamegeek.com/boardgame/20080/aqua-romana,Aqua Romana,2-4,45-60,Semplice,,
https://boardgamegeek.com/boardgame/311711/atelier,Atelier,,,,,
https://boardgamegeek.com/boardgame/325308/atelier-davinci,Atelier Da Vinci,,,,,
https://boardgamegeek.com/boardgame/55253/atlantis,Atlantis,2-4,45,Semplice,,B
https://boardgamegeek.com/boardgame/182194/aya,Aya,2-5,30,Semplice,,B
https://boardgamegeek.com/boardgame/230802/azul,Azul,2-4,30,Semplice,,
https://boardgamegeek.com/boardgame/292564/back-future-dice-through-time,Back to the Future: Dice,,,,,
https://boardgamegeek.com/boardgame/206540/banana-bandits,Banana Bandits,2-4,25-45,Semplice,Y,B
https://boardgamegeek.com/boardgame/27225/bananagrams,Bananagrams,1-8,15,Semplice,,
https://boardgamegeek.com/boardgame/299571/bandida,Bandida,,,,,
https://boardgamegeek.com/boardgame/3955/bang,Bang!,4-7,20-40,Semplice,,A
https://boardgamegeek.com/boardgameexpansion/20237/bang-fistful-cards,Bang! A fistful of cards,,,,,
https://boardgamegeek.com/boardgameexpansion/9653/bang-dodge-city,Bang! Dodge City,,,,,
https://boardgamegeek.com/boardgameexpansion/107794/bang-gold-rush,Bang! Gold Rush,,,,,
https://boardgamegeek.com/boardgameexpansion/130046/bang-valley-shadows,Bang! The Valley of Shadows,,,,,
https://boardgamegeek.com/boardgameexpansion/66508/bang-wild-west-show,Bang! Wild West Show,,,,,
https://boardgamegeek.com/boardgame/127134/baobab,Baobab,2-4,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/219513/barenpark,Barenpark,2-4,30-45,Semplice,,B
https://boardgamegeek.com/boardgame/209447/barracuda,Barracuda,,,,,
https://boardgamegeek.com/boardgame/167292/bellz,Bellz,2-4,15,Semplice,Y,
https://boardgamegeek.com/boardgame/168435/between-two-cities,Between two cities,1-7,20,Media,,B
https://boardgamegeek.com/boardgameexpansion/225370/between-two-cities-capitals,Between two cities Capitals,,,,,
https://boardgamegeek.com/boardgame/146149/speed-cups,Bicchieri Sprint,2-4,15,Semplice,Y,A
https://boardgamegeek.com/boardgame/50458/billy-biber,Billy Biber,,,,,
https://boardgamegeek.com/boardgame/21287/bison-thunder-prairie,Bison,,,,,
https://boardgamegeek.com/boardgame/157403/black-fleet,Black Fleet,3-4,60,Semplice,,
https://boardgamegeek.com/boardgame/28089/burg-appenzell,Borgo Parmigiano,,,,,
https://boardgamegeek.com/boardgame/122168/brethren-coast,Brethren of the coast,3-6,30-60,Semplice,,
https://boardgamegeek.com/boardgame/1613/ghost-castle,Brivido,,,,,
https://boardgamegeek.com/boardgame/32/buffalo-chess,Buffalo,,,,,
https://boardgamegeek.com/boardgame/299993/bye-bye-mr-fox,Bye Bye Mr. Fox!,,,,,
https://boardgamegeek.com/boardgame/38032/byzanz,Byzanz,3-6,45,Semplice,,A
https://boardgamegeek.com/boardgame/1234/once-upon-time-storytelling-card-game,C'era una volta,2-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/171499/cacao,Cacao,2-4,45,Semplice,,B
https://boardgamegeek.com/boardgame/231484/carnival-monsters,Cacciatori di mostri,,,,,
https://boardgamegeek.com/boardgame/327643/cakes,Cakes!,,,,,
https://boardgamegeek.com/boardgame/283155/calico,Calico,,,,,
https://boardgamegeek.com/boardgame/153938/camel,CamelUp,2-8,20-30,Semplice,,
https://boardgamegeek.com/boardgame/41/cant-stop,Can't Stop,,,,,
https://boardgamegeek.com/boardgame/302281/candy-lab,Candy Lab,,,,,
https://boardgamegeek.com/boardgame/295607/canopy,Canopy,,,,,
https://boardgamegeek.com/boardgame/171131/captain-sonar,Capitan Sonar,,,,,
https://boardgamegeek.com/boardgame/173074/tales-games-little-red-riding-hood,Cappuccetto rosso e il lupo cattivo,1-5,20,Semplice,Y,B
https://boardgamegeek.com/boardgame/822/carcassonne,Carcassonne,2-5,30-45,Semplice,,B
https://boardgamegeek.com/boardgame/89952/carcassonne-10-year-special-edition,Carcassonne 10° anniversario,,,,,
https://boardgamegeek.com/boardgameexpansion/2993/carcassonne-expansion-1-inns-cathedrals,Carcassonne Locande e Cattedrali,,,,,
https://boardgamegeek.com/boardgameexpansion/5405/carcassonne-expansion-2-traders-builders,Carcassonne Mercanti e Costruttori,,,,,
https://boardgamegeek.com/boardgame/481/carolus-magnus,Carolus Magnus,,,,,
https://boardgamegeek.com/boardgame/39938/carson-city,Carson City,,,,,
https://boardgamegeek.com/boardgame/224031/cartagena,Cartagena,,,,,
https://boardgamegeek.com/boardgame/295947/cascadia,Cascadia,,,,,
https://boardgamegeek.com/boardgame/318183/prehistories,Cavernicoli,,,,,
https://boardgamegeek.com/boardgame/18602/caylus,Caylus,2-5,60-150,Elevata,,
https://boardgamegeek.com/boardgame/175117/celestia,Celestia,2-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/299928/celtic,Celtic,,,,,
https://boardgamegeek.com/boardgame/308572/cinderella,Cenerentola,,,,,
https://boardgamegeek.com/boardgame/209685/century-spice-road,Century La via delle spezie,2-5,30-45,Semplice,,B
https://boardgamegeek.com/boardgame/256918/cerberus,Cerberus,,,,,
https://boardgamegeek.com/boardgame/132/caesar-cleopatra,Cesare & Cleopatra,,,,,
https://boardgamegeek.com/boardgame/205079/checkpoint-charlie,Checkpoint Charlie,,,,,
https://boardgamegeek.com/boardgame/191910/chicken-wings,Chicken Wings,,,,,
https://boardgamegeek.com/boardgame/18100/china,China,,,,,
https://boardgamegeek.com/boardgame/333750/choco-challenge,Choco Challenge,,,,,
https://boardgamegeek.com/boardgame/13328/chromino,Chromino,,,,,
,Cinque,,,,,
https://boardgamegeek.com/boardgame/205398/citadels,Citadels,2-8,20-60,Semplice,,B
https://boardgamegeek.com/boardgame/216132/clans-caledonia,Clans of Caledonia,1-4,30-120,Elevata,,
https://boardgamegeek.com/boardgame/443/code-777,Code 777,,,,,
https://boardgamegeek.com/boardgame/24742/cold-war-cia-vs-kgb,Cold War CIA vs KGB,2,30-60,Semplice,,A
https://boardgamegeek.com/boardgame/5782/coloretto,Coloretto,,,,,
https://boardgamegeek.com/boardgame/158899/colt-express,Colt Express,2-6,30-40,Semplice,,
https://boardgamegeek.com/boardgame/181158/colt-express-horses-stagecoach,Colt Express: cavalli e diligenza,,,,,
https://boardgamegeek.com/boardgame/191865/colt-express-marshal-prisoners,Colt Express: sceriffo e prigionieri,,,,,
https://boardgamegeek.com/boardgame/325489/dante-alighieri-comedia-inferno,Comedia - Inferno,,,,,
https://boardgamegeek.com/boardgame/356110/dante-alighieri-comedia-purgatorio,Comedia - Purgatorio,,,,,
https://boardgamegeek.com/boardgame/147151/concept,Concept,4-12,40,Semplice,,B
https://boardgamegeek.com/boardgame/276042/conspiracy-abyss-universe,Conspiracy,,,,,
https://boardgamegeek.com/boardgame/218465/contrast,Contrast,,,,,
https://boardgamegeek.com/boardgame/269595/copenhagen,Copenhagen,,,,,
https://boardgamegeek.com/boardgame/204027/cottage-garden,Cottage garden,1-4,45-60,Media,,B
https://boardgamegeek.com/boardgame/8172/coyote,Coyote,,,,,
https://boardgamegeek.com/boardgame/301637/crazy-fishing,Crazy Fishing,,,,,
https://boardgamegeek.com/boardgame/182259/creepy-falls,Creepy Falls,2-5,90,Media,,
https://boardgamegeek.com/boardgame/300753/cross-clues,Cross Clues,,,,,
https://boardgamegeek.com/boardgame/256570/crown-emara,Crown of Emara,,,,,
https://boardgamegeek.com/boardgame/250442/crypt,Crypt,1-4,20-35,Semplice,,A
https://boardgamegeek.com/boardgame/246784/cryptid,Cryptid,3-5,30-50,Media,,
https://boardgamegeek.com/boardgame/179303/cthulhu-realms,Cthulhu Realms,2-4,25-45,Semplice,,A
https://boardgamegeek.com/boardgame/264212/curators,Curators,,,,,
https://boardgamegeek.com/boardgame/75165/de-vulgari-eloquentia,De Vulgari Eloquentia,2-5,120,Elevata,,
https://boardgamegeek.com/boardgame/218311/deckscape-test-time,Deckscape  - L'ora del test,,,,,
https://boardgamegeek.com/boardgame/295571/deckscape-crew-vs-crew-pirates-island,Deckscape - Ciurma vs Ciurma,,,,,
https://boardgamegeek.com/boardgame/383139/decktective-secrets-sand,Decktective - Segreti nella sabbia,,,,,
https://boardgamegeek.com/boardgame/225694/decrypto,Decrypto,3-8,15-45,Semplice,,B
https://boardgamegeek.com/boardgame/256788/detective-club,Detective Club,,,,,
https://boardgamegeek.com/boardgame/299933/dice-flick,Dice Flick,,,,,
https://boardgamegeek.com/boardgame/194594/dice-forge,Dice Forge,2-4,45,Media,,
https://boardgamegeek.com/boardgame/2936/dice-run,Dice Run,,,,,
https://boardgamegeek.com/boardgame/315534/goal-10,Dieci,,,,,
https://boardgamegeek.com/boardgame/278361/dilemmi,Dilemmi,2-8,30-60,Semplice,,B
https://boardgamegeek.com/boardgame/156719/dino-race,Dino Race,2-4,30,Semplice,Y,B
https://boardgamegeek.com/boardgameexpansion/55660/dixit-quest,Dixit 2: Quest,,,,,
https://boardgamegeek.com/boardgameexpansion/119657/dixit-3-journey,Dixit 3: Journey,,,,,
https://boardgamegeek.com/boardgameexpansion/145325/dixit-origins,Dixit 4: Origins,,,,,
https://boardgamegeek.com/boardgame/92828/dixit-odyssey,Dixit Odyssey,3-12,30,Semplice,,
https://boardgamegeek.com/boardgame/63268/spot-it,Dobble,2-8,5,Semplice,Y,A
https://boardgamegeek.com/boardgame/165629/dogsitter,DogSitter,2-5,15,Semplice,Y,A
https://boardgamegeek.com/boardgame/242523/dolly-crush,Dolly Crush,,,,,
https://boardgamegeek.com/boardgame/40834/dominion-intrigue,Dominion Intrigo,2-4,30-60,Media,,
https://boardgamegeek.com/boardgame/36218/dominion,Dominion Nasce un regno,2-4,30-60,Media,,
https://boardgamegeek.com/boardgame/181345/dr-eureka,Dr. Eureka,1-4,15,Semplice,Y,B
https://boardgamegeek.com/boardgame/108783/dr-shark,Dr. Shark,,,,,
https://boardgamegeek.com/boardgame/300010/dragomino,Dragomino,,,,,
