bgg,name,players,duration,complexity,y,ab
https://boardgamegeek.com/boardgame/5867/10-days-in-europe,10 Days in Europe,,,Semplice,,
https://boardgamegeek.com/boardgame/367525/3000-scoundrels,3000 Canaglie,,,Media,,
https://boardgamegeek.com/boardgame/249039/5-minute-chase,5 minutes chase,2-4,15,Semplice,,B
https://boardgamegeek.com/boardgame/161417/red7,7 Rosso,2-4,5-30,Media,,A
https://boardgamegeek.com/boardgame/164226/7sins,7 Sins,,,Semplice,,
https://boardgamegeek.com/boardgame/68448/7-wonders,7 Wonders,2-7,30-45,Media,,
https://boardgamegeek.com/boardgame/173346/7-wonders-duel,7 Wonders Duel,2,,Media,,
https://boardgamegeek.com/boardgame/414668/a-peaceful-garden,A peaceful garden,,,Semplice,,
https://boardgamegeek.com/boardgame/302316/sky-stars,A Sky of Stars,,,Semplice,,
https://boardgamegeek.com/boardgame/226322/s-question,A voi la scelta!,3-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/172818/above-and-below,Above and Below,2-4,90,Media,,
https://boardgamegeek.com/boardgame/155987/abyss,Abyss,2-4,30-60,Media,,
https://boardgamegeek.com/boardgame/369548/after-us,After Us,,,Media,,
https://boardgamegeek.com/boardgame/155695/age-war,Age of war,2-6,15-30,Semplice,,A
https://boardgamegeek.com/boardgame/31260/agricola,Agricola ,1-5,30-150,Elevata,,
https://boardgamegeek.com/boardgame/205418/agricola-family-edition,Agricola per famiglie,1-4,45,Semplice,Y,
https://boardgamegeek.com/boardgame/165651/merry-yard,Aia Gaia,,,Semplice,,
https://boardgamegeek.com/boardgame/161970/alchemists,Alchimisti,,,Elevata,,
https://boardgamegeek.com/boardgame/6249/alhambra,Alhambra,2-6,45-60,Semplice,,
https://boardgamegeek.com/boardgame/391045/alpaca,Alpaca,,,Media,,
https://boardgamegeek.com/boardgame/260710/amul,Amul,3-8,,Media,,
https://boardgamegeek.com/boardgame/342857/air-land-and-sea-critters-war,Animali in Guerra,,,Semplice,,
https://boardgamegeek.com/boardgame/300099/animix,Animix,,,Semplice,,
https://boardgamegeek.com/boardgame/3137/anno-domini-erfindungen,Anno Domini ,,,Semplice,,
https://boardgamegeek.com/boardgame/174614/apotheca,Apotheca,,,Semplice,,
https://boardgamegeek.com/boardgame/20080/aqua-romana,Aqua Romana,2-4,45-60,Semplice,,
https://boardgamegeek.com/boardgame/25643/arkadia,Arkadia,,,Media,,
https://boardgamegeek.com/boardgame/347017/arturo-un-compleanno-da-paura,Arturo: un compleanno da paura,,,Semplice,,
https://boardgamegeek.com/boardgame/311711/atelier,Atelier,,,Semplice,,
https://boardgamegeek.com/boardgame/325308/atelier-davinci,Atelier Da Vinci,,,Semplice,,
https://boardgamegeek.com/boardgame/55253/atlantis,Atlantis,2-4,45,Semplice,,B
https://boardgamegeek.com/boardgame/182194/aya,Aya,2-5,30,Semplice,,B
https://boardgamegeek.com/boardgame/230802/azul,Azul,2-4,30,Semplice,,
https://boardgamegeek.com/boardgame/292564/back-future-dice-through-time,Back to the Future: Dice,,,Semplice,,
https://boardgamegeek.com/boardgame/206540/banana-bandits,Banana Bandits,2-4,25-45,Semplice,Y,B
https://boardgamegeek.com/boardgame/27225/bananagrams,Bananagrams,1-8,15,Semplice,,
https://boardgamegeek.com/boardgame/299571/bandida,Bandida,,,Semplice,,
https://boardgamegeek.com/boardgame/3955/bang,Bang!,4-7,20-40,Semplice,,A
https://boardgamegeek.com/boardgameexpansion/20237/bang-fistful-cards,Bang! A fistful of cards,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/9653/bang-dodge-city,Bang! Dodge City,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/107794/bang-gold-rush,Bang! Gold Rush,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/130046/bang-valley-shadows,Bang! The Valley of Shadows,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/66508/bang-wild-west-show,Bang! Wild West Show,,,Semplice,,
https://boardgamegeek.com/boardgame/127134/baobab,Baobab,2-4,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/219513/barenpark,Barenpark,2-4,30-45,Semplice,,B
https://boardgamegeek.com/boardgame/209447/barracuda,Barracuda,,,Semplice,,
https://boardgamegeek.com/boardgame/167292/bellz,Bellz,2-4,15,Semplice,Y,
https://boardgamegeek.com/boardgame/358504/betrayal-at-house-on-the-hill-3rd-edition,Betrayal at House on the Hill,,,Media,,
https://boardgamegeek.com/boardgame/168435/between-two-cities,Between two cities,1-7,20,Media,,B
https://boardgamegeek.com/boardgameexpansion/225370/between-two-cities-capitals,Between two cities Capitals,,,Media,,
https://boardgamegeek.com/boardgame/146149/speed-cups,Bicchieri Sprint,2-4,15,Semplice,Y,A
https://boardgamegeek.com/boardgame/50458/billy-biber,Billy Biber,,,Semplice,,
https://boardgamegeek.com/boardgame/21287/bison-thunder-prairie,Bison,,,Media,,
https://boardgamegeek.com/boardgame/157403/black-fleet,Black Fleet,3-4,60,Semplice,,
https://boardgamegeek.com/boardgame/28089/burg-appenzell,Borgo Parmigiano,,,Semplice,,
https://boardgamegeek.com/boardgame/224517/brass-birmingham,Brass: Birmingham,,,Elevata,,
https://boardgamegeek.com/boardgame/122168/brethren-coast,Brethren of the coast,3-6,30-60,Semplice,,
https://boardgamegeek.com/boardgame/1613/ghost-castle,Brivido,,,Semplice,,
https://boardgamegeek.com/boardgame/32/buffalo-chess,Buffalo,,,Semplice,,
https://boardgamegeek.com/boardgame/299993/bye-bye-mr-fox,Bye Bye Mr. Fox!,,,Semplice,,
https://boardgamegeek.com/boardgame/38032/byzanz,Byzanz,3-6,45,Semplice,,A
https://boardgamegeek.com/boardgame/1234/once-upon-time-storytelling-card-game,C'era una volta,2-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/171499/cacao,Cacao,2-4,45,Semplice,,B
https://boardgamegeek.com/boardgame/231484/carnival-monsters,Cacciatori di mostri,,,Media,,
https://boardgamegeek.com/boardgame/377738/cafe-del-gatto,Café del Gatto ,,,Semplice,,
https://boardgamegeek.com/boardgame/327643/cakes,Cakes!,,,Semplice,,
https://boardgamegeek.com/boardgame/283155/calico,Calico,,,Media,,
https://boardgamegeek.com/boardgame/153938/camel,CamelUp,2-8,20-30,Semplice,,
https://boardgamegeek.com/boardgame/41/cant-stop,Can't Stop,,,Semplice,,
https://boardgamegeek.com/boardgame/302281/candy-lab,Candy Lab,,,Semplice,,
https://boardgamegeek.com/boardgame/295607/canopy,Canopy,,,Media,,
https://boardgamegeek.com/boardgame/393325/captain-flip,Capitan Flip,,,Semplice,,
https://boardgamegeek.com/boardgame/171131/captain-sonar,Capitan Sonar,,,Media,,
https://boardgamegeek.com/boardgame/173074/tales-games-little-red-riding-hood,Cappuccetto rosso e il lupo cattivo,1-5,20,Semplice,Y,B
https://boardgamegeek.com/boardgame/822/carcassonne,Carcassonne,2-5,30-45,Semplice,,B
https://boardgamegeek.com/boardgame/89952/carcassonne-10-year-special-edition,Carcassonne 10° anniversario,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/2993/carcassonne-expansion-1-inns-cathedrals,Carcassonne Locande e Cattedrali,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/5405/carcassonne-expansion-2-traders-builders,Carcassonne Mercanti e Costruttori,,,Semplice,,
https://boardgamegeek.com/boardgame/481/carolus-magnus,Carolus Magnus,,,Media,,
https://boardgamegeek.com/boardgame/39938/carson-city,Carson City,,,Elevata,,
https://boardgamegeek.com/boardgame/224031/cartagena,Cartagena,,,Semplice,,
https://boardgamegeek.com/boardgame/295947/cascadia,Cascadia,,,Media,,
https://boardgamegeek.com/boardgame/244144/catan-histories-rise-of-the-inkas,Catan: l'ascesa degli Inca,,,Media,,
https://boardgamegeek.com/boardgame/318183/prehistories,Cavernicoli,,,Semplice,,
https://boardgamegeek.com/boardgame/18602/caylus,Caylus,2-5,60-150,Elevata,,
https://boardgamegeek.com/boardgame/175117/celestia,Celestia,2-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/299928/celtic,Celtic,,,Semplice,,
https://boardgamegeek.com/boardgame/308572/cinderella,Cenerentola,,,Semplice,,
https://boardgamegeek.com/boardgame/209685/century-spice-road,Century La via delle spezie,2-5,30-45,Semplice,,B
https://boardgamegeek.com/boardgame/256918/cerberus,Cerberus,,,Semplice,,
https://boardgamegeek.com/boardgame/132/caesar-cleopatra,Cesare & Cleopatra,,,Media,,
https://boardgamegeek.com/boardgame/48/krieg-und-frieden,Charlemagne - La spada e la fede,,,Media,,
https://boardgamegeek.com/boardgame/205079/checkpoint-charlie,Checkpoint Charlie,,,Semplice,,
https://boardgamegeek.com/boardgame/368168/cheese-master,Cheese Master,,,Semplice,,
https://boardgamegeek.com/boardgame/191910/chicken-wings,Chicken Wings,,,Semplice,,
https://boardgamegeek.com/boardgame/18100/china,China,,,Media,,
https://boardgamegeek.com/boardgame/333750/choco-challenge,Choco Challenge,,,Semplice,,
https://boardgamegeek.com/boardgame/13328/chromino,Chromino,,,Semplice,,
,Cinque,,,Semplice,,
https://boardgamegeek.com/boardgame/205398/citadels,Citadels,2-8,20-60,Semplice,,B
https://boardgamegeek.com/boardgame/216132/clans-caledonia,Clans of Caledonia,1-4,30-120,Elevata,,
https://boardgamegeek.com/boardgame/443/code-777,Code 777,,,Semplice,,
https://boardgamegeek.com/boardgame/24742/cold-war-cia-vs-kgb,Cold War CIA vs KGB,2,30-60,Semplice,,A
https://boardgamegeek.com/boardgame/5782/coloretto,Coloretto,,,Semplice,,
https://boardgamegeek.com/boardgame/158899/colt-express,Colt Express,2-6,30-40,Semplice,,
https://boardgamegeek.com/boardgame/181158/colt-express-horses-stagecoach,Colt Express: cavalli e diligenza,,,Semplice,,
https://boardgamegeek.com/boardgame/191865/colt-express-marshal-prisoners,Colt Express: sceriffo e prigionieri,,,Semplice,,
https://boardgamegeek.com/boardgame/325489/dante-alighieri-comedia-inferno,Comedia - Inferno,,,Media,,
https://boardgamegeek.com/boardgame/356110/dante-alighieri-comedia-purgatorio,Comedia - Purgatorio,,,Media,,
